Date,Comment,CF,SPAN,REP_RATE,POWER,Sens,Res,Interval,SAMPLINGS_NUMBER,Concentration [ppm],Concentration [mol/L]=[M],Wavelength
2023_05_04_12_55_42_785916,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,22.030208349227905,1,1.7296662359157775,4.941903531187936e-05,1579.9900199600756
2023_05_04_12_55_44_419013,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,23.66330480575561,1,0.7303035218310823,2.0865814909459493e-05,1579.9900199600756
2023_05_04_12_55_45_839497,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,25.083788871765137,1,0.9993627140846914,2.8553220402419754e-05,1579.9900199600756
2023_05_04_12_55_47_254969,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,26.49926066398621,1,1.9218513732396378,5.4910039235418226e-05,1579.9900199600756
2023_05_04_12_55_48_671396,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,27.91568756103516,1,0.6149924394366977,1.757121255533422e-05,1579.9900199600756
2023_05_04_12_55_50_106030,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,29.35032200813293,1,1.1531108239437813,3.294602354125089e-05,1579.9900199600756
2023_05_04_12_55_51_521332,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,30.765623807907104,1,1.0762367690142363,3.074962197183532e-05,1579.9900199600756
2023_05_04_12_55_54_197833,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,33.44212508201599,1,1.2684219063382352,3.624062589537815e-05,1579.9900199600756
2023_05_04_12_55_56_016541,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,35.26083326339722,1,1.2299848788733954,3.514242511066844e-05,1579.9900199600756
2023_05_04_12_55_57_766410,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,37.01070165634155,1,1.7681032633804787,5.0517236096585103e-05,1579.9900199600756
2023_05_04_12_55_59_516300,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,38.760591983795166,1,1.1915478514086209,3.404422432596059e-05,1579.9900199600756
2023_05_04_12_56_01_484250,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,40.72854232788086,1,2.1140365105636367,6.040104315896105e-05,1579.9900199600756
2023_05_04_12_56_03_448615,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,42.69290709495544,1,1.345295961267849,3.843702746479569e-05,1579.9900199600756
2023_05_04_12_56_05_215443,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,44.45973467826843,1,1.7296662359157082,4.941903531187738e-05,1579.9900199600756
2023_05_04_12_56_07_166409,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,46.41070055961609,1,0.8071775767606926,2.3062216478876932e-05,1579.9900199600756
2023_05_04_12_56_08_916907,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,48.16119909286499,1,1.844977318310093,5.271363766600266e-05,1579.9900199600756
2023_05_04_12_56_10_682281,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,49.92657256126404,1,0.5765554119719233,1.647301177062638e-05,1579.9900199600756
2023_05_04_12_56_12_417922,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,51.66221356391907,1,0.7687405492958528,2.1964015694167223e-05,1579.9900199600756
2023_05_04_12_56_14_167826,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,53.41211771965027,1,1.844977318310162,5.271363766600463e-05,1579.9900199600756
2023_05_04_12_56_15_917141,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,55.16143298149109,1,1.4221700161973942,4.063342903421126e-05,1579.9900199600756
2023_05_04_12_56_17_667019,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,56.91131091117859,1,0.6534294669014682,1.866941334004195e-05,1579.9900199600756
2023_05_04_12_56_19_417038,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,58.66133046150208,1,1.2684219063382352,3.624062589537815e-05,1579.9900199600756
2023_05_04_12_56_21_184119,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,60.42841100692749,1,1.0377997415494657,2.9651421187127592e-05,1579.9900199600756
2023_05_04_12_56_23_149292,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,62.39358401298523,1,1.5374810985917093,4.3928031388334555e-05,1579.9900199600756
2023_05_04_12_56_24_899601,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,64.1438934803009,1,0.922488659155081,2.6356818833002315e-05,1579.9900199600756
2023_05_04_12_56_26_635287,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,65.8795793056488,1,0.9224886591550118,2.6356818833000336e-05,1579.9900199600756
2023_05_04_12_56_28_399840,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,67.64413213729858,1,0.42280730211276807,1.2080208631793373e-05,1579.9900199600756
2023_05_04_12_56_30_650372,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,69.89466404914856,1,0.6534294669015374,1.8669413340043925e-05,1579.9900199600756
2023_05_04_12_56_32_434787,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,71.67907929420471,1,1.6143551535213236,4.61244329577521e-05,1579.9900199600756
2023_05_04_12_56_34_200344,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,73.44463562965393,1,1.7296662359157082,4.941903531187738e-05,1579.9900199600756
2023_05_04_12_56_36_150672,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,75.39496445655823,1,1.7296662359157775,4.941903531187936e-05,1579.9900199600756
2023_05_04_12_56_37_901522,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,77.14581418037415,1,1.2684219063382352,3.624062589537815e-05,1579.9900199600756
2023_05_04_12_56_39_652657,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,78.89694929122925,1,1.844977318310093,5.271363766600266e-05,1579.9900199600756
2023_05_04_12_56_41_403615,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,80.64790725708008,1,1.5759181260565491,4.5026232173044264e-05,1579.9900199600756
2023_05_04_12_56_43_152453,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,82.39674520492554,1,1.921851373239707,5.49100392354202e-05,1579.9900199600756
2023_05_04_12_56_44_902034,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,84.1463258266449,1,1.2684219063382352,3.624062589537815e-05,1579.9900199600756
2023_05_04_12_56_46_652215,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,85.89650678634644,1,1.345295961267849,3.843702746479569e-05,1579.9900199600756
2023_05_04_12_56_48_404583,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,87.64887499809265,1,2.2677846204227916,6.479384629779405e-05,1579.9900199600756
2023_05_04_12_56_50_152360,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,89.39665174484253,1,1.4990440711270043,4.2829830603628695e-05,1579.9900199600756
2023_05_04_12_56_51_903723,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,91.1480152606964,1,0.9993627140846261,2.8553220402417887e-05,1579.9900199600756
2023_05_04_12_56_53_653156,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,92.89744758605956,1,2.5368438126764046,7.248125179075441e-05,1579.9900199600756
2023_05_04_12_56_55_403013,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,94.64730548858644,1,1.921851373239707,5.49100392354202e-05,1579.9900199600756
2023_05_04_12_56_57_368730,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,96.61302161216736,1,1.921851373239707,5.49100392354202e-05,1579.9900199600756
2023_05_04_12_56_59_121073,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,98.36536526679993,1,2.5368438126764046,7.248125179075441e-05,1579.9900199600756
2023_05_04_12_57_00_886075,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,100.12800979614258,1,1.3837329887326197,3.953522824950342e-05,1579.9900199600756
2023_05_04_12_57_02_836482,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,102.08077383041382,1,2.267784620422861,6.479384629779603e-05,1579.9900199600756
2023_05_04_12_57_04_601289,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,103.84558081626892,1,1.9602884007044776,5.6008240020127935e-05,1579.9900199600756
2023_05_04_12_57_06_567775,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,105.81206679344176,1,2.0371624556340917,5.8204641589545476e-05,1579.9900199600756
2023_05_04_12_57_08_319825,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,107.56411695480348,1,1.2684219063381657,3.624062589537616e-05,1579.9900199600756
2023_05_04_12_57_10_070617,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,109.3149094581604,1,1.6143551535213236,4.61244329577521e-05,1579.9900199600756
2023_05_04_12_57_11_819371,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,111.0636625289917,1,1.9987254281692521,5.7106440804835774e-05,1579.9900199600756
2023_05_04_12_57_13_785095,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,113.02938675880432,1,1.614355153521389,4.6124432957753966e-05,1579.9900199600756
2023_05_04_12_57_15_536078,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,114.78036999702454,1,0.9609256866198516,2.7455019617710045e-05,1579.9900199600756
2023_05_04_12_57_17_270396,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,116.51468849182127,1,1.1915478514086209,3.404422432596059e-05,1579.9900199600756
2023_05_04_12_57_19_035612,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,118.2799036502838,1,0.9609256866198516,2.7455019617710045e-05,1579.9900199600756
2023_05_04_12_57_20_783181,,1600,50,78.56MHz,6,MID,2nm <1.643nm>,120.02747344970705,1,2.7674659774651738,7.907045649900497e-05,1579.9900199600756
2023_05_04_12_57_24_821634,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,2.507225275039673,1,0.19218513732399492,5.491003923542712e-06,1579.9900199600756
2023_05_04_12_57_26_586758,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,4.272349834442139,1,-1.4606070436621645,-4.173162981891899e-05,1579.9900199600756
2023_05_04_12_57_28_553473,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,6.239064455032349,1,-0.4612443295774694,-1.3178409416499126e-05,1579.9900199600756
2023_05_04_12_57_30_300229,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,7.985820293426514,1,-0.07687405492954108,-2.1964015694154594e-06,1579.9900199600756
2023_05_04_12_57_32_268229,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,9.95382022857666,1,0.49968135704231303,1.4276610201208943e-05,1579.9900199600756
2023_05_04_12_57_34_343704,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,12.029295921325684,1,-0.19218513732392958,-5.491003923540845e-06,1579.9900199600756
2023_05_04_12_57_36_685776,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,14.371367931365969,1,-1.0377997415493965,-2.9651421187125614e-05,1579.9900199600756
2023_05_04_12_57_39_036560,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,16.72215175628662,1,-0.07687405492954108,-2.1964015694154594e-06,1579.9900199600756
2023_05_04_12_57_40_799398,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,18.484989404678345,1,-0.19218513732399492,-5.491003923542712e-06,1579.9900199600756
2023_05_04_12_57_42_772493,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,20.458084106445312,1,-0.3459332471831539,-9.883807062375826e-06,1579.9900199600756
2023_05_04_12_57_44_736966,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,22.42255711555481,1,-0.30749621971837954,-8.785606277667987e-06,1579.9900199600756
2023_05_04_12_57_46_700568,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,24.38615918159485,1,-0.8840516316902375,-2.52586180482925e-05,1579.9900199600756
2023_05_04_12_57_48_455255,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,26.140846490859985,1,0.26905919225353986,7.687405492958282e-06,1579.9900199600756
2023_05_04_12_57_50_408303,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,28.09389424324036,1,-0.2306221647887693,-6.589204708250551e-06,1579.9900199600756
2023_05_04_12_57_52_379864,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,30.06545567512512,1,-0.42280730211269885,-1.2080208631791396e-05,1579.9900199600756
2023_05_04_12_57_54_359418,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,32.04500961303711,1,-0.42280730211269885,-1.2080208631791396e-05,1579.9900199600756
2023_05_04_12_57_56_328883,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,34.014474630355835,1,-0.269059192253609,-7.687405492960259e-06,1579.9900199600756
2023_05_04_12_57_58_076017,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,35.76160836219788,1,-0.15374810985922438,-4.392803138834982e-06,1579.9900199600756
2023_05_04_12_57_59_824185,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,37.50977611541748,1,-0.6918664943662425,-1.9767614124749785e-05,1579.9900199600756
2023_05_04_12_58_01_793689,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,39.47928094863892,1,-0.7303035218310823,-2.0865814909459493e-05,1579.9900199600756
2023_05_04_12_58_03_765247,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,41.450838804245,1,-0.6918664943663078,-1.976761412475165e-05,1579.9900199600756
2023_05_04_12_58_05_513184,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,43.19877529144287,1,-0.03843702746477054,-1.0982007847077297e-06,1579.9900199600756
2023_05_04_12_58_07_490502,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,45.17609333992005,1,-0.42280730211269885,-1.2080208631791396e-05,1579.9900199600756
2023_05_04_12_58_09_463056,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,47.14864730834961,1,-0.30749621971837954,-8.785606277667987e-06,1579.9900199600756
2023_05_04_12_58_11_524472,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,49.21006393432617,1,-0.5765554119719233,-1.647301177062638e-05,1579.9900199600756
2023_05_04_12_58_13_494322,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,51.17991352081299,1,-0.2306221647887693,-6.589204708250551e-06,1579.9900199600756
2023_05_04_12_58_15_468433,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,53.154024600982666,1,-0.9993627140846261,-2.8553220402417887e-05,1579.9900199600756
2023_05_04_12_58_17_439220,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,55.12481164932251,1,-1.2299848788733954,-3.514242511066844e-05,1579.9900199600756
2023_05_04_12_58_19_175714,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,56.861305713653564,1,0.4612443295775386,1.3178409416501101e-05,1579.9900199600756
2023_05_04_12_58_21_155177,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,58.840768575668335,1,0.19218513732392958,5.491003923540845e-06,1579.9900199600756
2023_05_04_12_58_23_118692,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,60.80428385734558,1,0.9224886591550118,2.6356818833000336e-05,1579.9900199600756
2023_05_04_12_58_25_094111,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,62.77970290184021,1,-0.3074962197183142,-8.78560627766612e-06,1579.9900199600756
2023_05_04_12_58_26_834472,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,64.52006316184998,1,0.0,0.0,1579.9900199600756
2023_05_04_12_58_28_592867,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,66.2784583568573,1,-0.9993627140846261,-2.8553220402417887e-05,1579.9900199600756
2023_05_04_12_58_30_358672,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,68.04426383972168,1,-0.8456146042254669,-2.4160417263584767e-05,1579.9900199600756
2023_05_04_12_58_32_303250,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,69.98884129524231,1,0.2306221647887693,6.589204708250551e-06,1579.9900199600756
2023_05_04_12_58_34_062812,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,71.74840331077576,1,0.2306221647887693,6.589204708250551e-06,1579.9900199600756
2023_05_04_12_58_36_035151,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,73.72074222564697,1,0.4612443295775386,1.3178409416501101e-05,1579.9900199600756
2023_05_04_12_58_37_780681,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,75.4662721157074,1,0.19218513732399492,5.491003923542712e-06,1579.9900199600756
2023_05_04_12_58_39_752974,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,77.43856501579285,1,0.8071775767606272,2.3062216478875062e-05,1579.9900199600756
2023_05_04_12_58_41_721758,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,79.40734958648682,1,0.4612443295775386,1.3178409416501101e-05,1579.9900199600756
2023_05_04_12_58_43_452738,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,81.13832974433899,1,-1.0762367690142363,-3.074962197183532e-05,1579.9900199600756
2023_05_04_12_58_45_224524,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,82.9101152420044,1,0.26905919225353986,7.687405492958282e-06,1579.9900199600756
2023_05_04_12_58_47_283700,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,84.9692919254303,1,-1.2299848788733954,-3.514242511066844e-05,1579.9900199600756
2023_05_04_12_58_49_365746,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,87.05133748054504,1,0.26905919225353986,7.687405492958282e-06,1579.9900199600756
2023_05_04_12_58_51_345578,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,89.03116989135742,1,-0.9993627140846261,-2.8553220402417887e-05,1579.9900199600756
2023_05_04_12_58_53_436600,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,91.12119269371031,1,0.15374810985915519,4.392803138833005e-06,1579.9900199600756
2023_05_04_12_58_55_385284,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,93.07087564468384,1,-0.49968135704231303,-1.4276610201208943e-05,1579.9900199600756
2023_05_04_12_58_57_344550,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,95.03014135360718,1,0.0,0.0,1579.9900199600756
2023_05_04_12_58_59_333749,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,97.01934027671814,1,-0.15374810985915519,-4.392803138833005e-06,1579.9900199600756
2023_05_04_12_59_01_288016,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,98.9736077785492,1,0.3459332471830848,9.883807062373852e-06,1579.9900199600756
2023_05_04_12_59_03_263553,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,100.94914412498474,1,-0.5765554119719233,-1.647301177062638e-05,1579.9900199600756
2023_05_04_12_59_05_017126,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,102.7027177810669,1,-0.19218513732399492,-5.491003923542712e-06,1579.9900199600756
2023_05_04_12_59_07_219880,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,104.90547108650208,1,-0.15374810985915519,-4.392803138833005e-06,1579.9900199600756
2023_05_04_12_59_09_268002,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,106.95359349250792,1,0.0,0.0,1579.9900199600756
2023_05_04_12_59_11_453734,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,109.1393256187439,1,0.03843702746477054,1.0982007847077297e-06,1579.9900199600756
2023_05_04_12_59_13_216172,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,110.90176320075987,1,0.2306221647887001,6.589204708248574e-06,1579.9900199600756
2023_05_04_12_59_14_973315,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,112.65890645980836,1,0.19218513732399492,5.491003923542712e-06,1579.9900199600756
2023_05_04_12_59_16_936466,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,114.62205791473389,1,0.0,0.0,1579.9900199600756
2023_05_04_12_59_18_701448,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,116.38703942298888,1,0.3459332471831539,9.883807062375826e-06,1579.9900199600756
2023_05_04_12_59_20_661484,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,118.34707546234132,1,0.03843702746477054,1.0982007847077297e-06,1579.9900199600756
2023_05_04_12_59_22_946562,,1600,50,78.56MHz,7,MID,2nm <1.643nm>,120.63215374946594,1,-0.26905919225353986,-7.687405492958282e-06,1579.9900199600756
2023_05_04_12_59_27_015838,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,2.232203960418701,1,1.34529596126778,3.8437027464793716e-05,1579.9900199600756
2023_05_04_12_59_28_954793,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,4.171159029006958,1,1.6143551535213236,4.61244329577521e-05,1579.9900199600756
2023_05_04_12_59_30_924517,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,6.140882968902588,1,2.1140365105636367,6.040104315896105e-05,1579.9900199600756
2023_05_04_12_59_32_694467,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,7.91083288192749,1,1.3837329887325502,3.953522824950143e-05,1579.9900199600756
2023_05_04_12_59_34_662780,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,9.879145860671995,1,1.499044071126939,4.282983060362683e-05,1579.9900199600756
2023_05_04_12_59_36_742060,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,11.958425521850586,1,3.3824584169018026,9.664166905433721e-05,1579.9900199600756
2023_05_04_12_59_38_700681,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,13.917047262191772,1,1.9602884007044776,5.6008240020127935e-05,1579.9900199600756
2023_05_04_12_59_40_454129,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,15.670494556427002,1,1.34529596126778,3.8437027464793716e-05,1579.9900199600756
2023_05_04_12_59_42_208805,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,17.4251708984375,1,2.190910565493247,6.259744472837848e-05,1579.9900199600756
2023_05_04_12_59_43_951308,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,19.16767430305481,1,1.6143551535213236,4.61244329577521e-05,1579.9900199600756
2023_05_04_12_59_45_711739,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,20.928105115890503,1,2.190910565493247,6.259744472837848e-05,1579.9900199600756
2023_05_04_12_59_47_670635,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,22.88700079917908,1,2.1140365105636367,6.040104315896105e-05,1579.9900199600756
2023_05_04_12_59_49_409421,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,24.625786542892456,1,1.34529596126778,3.8437027464793716e-05,1579.9900199600756
2023_05_04_12_59_51_164409,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,26.38077449798584,1,2.2293475929580215,6.369564551308634e-05,1579.9900199600756
2023_05_04_12_59_52_921848,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,28.138213396072388,1,2.5368438126764046,7.248125179075441e-05,1579.9900199600756
2023_05_04_12_59_54_664405,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,29.88077092170716,1,1.3068589338030054,3.733882668008587e-05,1579.9900199600756
2023_05_04_12_59_56_654022,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,31.87038826942444,1,1.8834143457749326,5.381183845071236e-05,1579.9900199600756
2023_05_04_13_00_07_255441,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,42.47180700302124,1,2.075599483098862,5.9302842374253206e-05,1579.9900199600756
2023_05_04_13_00_08_663085,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,43.87945055961609,1,2.1524735380284765,6.149924394367075e-05,1579.9900199600756
2023_05_04_13_00_10_087385,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,45.30375075340271,1,1.9602884007044776,5.6008240020127935e-05,1579.9900199600756
2023_05_04_13_00_12_523694,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,47.7400598526001,1,1.4221700161973247,4.063342903420928e-05,1579.9900199600756
2023_05_04_13_00_14_468068,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,49.68443417549133,1,2.190910565493247,6.259744472837848e-05,1579.9900199600756
2023_05_04_13_00_16_224726,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,51.441091775894165,1,1.844977318310093,5.271363766600266e-05,1579.9900199600756
2023_05_04_13_00_17_965038,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,53.18140387535095,1,2.49840678521163,7.138305100604657e-05,1579.9900199600756
2023_05_04_13_00_19_713172,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,54.92953777313232,1,1.6527921809860942,4.722263374245983e-05,1579.9900199600756
2023_05_04_13_00_21_696748,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,56.913113594055176,1,1.9987254281692521,5.7106440804835774e-05,1579.9900199600756
2023_05_04_13_00_23_657994,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,58.874359369277954,1,1.499044071126939,4.282983060362683e-05,1579.9900199600756
2023_05_04_13_00_25_618286,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,60.834651470184326,1,1.1531108239437813,3.294602354125089e-05,1579.9900199600756
2023_05_04_13_00_27_374073,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,62.59043836593628,1,1.5759181260565491,4.5026232173044264e-05,1579.9900199600756
2023_05_04_13_00_29_135228,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,64.35159397125244,1,1.34529596126778,3.8437027464793716e-05,1579.9900199600756
2023_05_04_13_00_31_105437,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,66.32180309295654,1,1.1531108239437813,3.294602354125089e-05,1579.9900199600756
2023_05_04_13_00_33_072253,,1600,50,78.56MHz,8,MID,2nm <1.643nm>,68.28861880302429,1,0.9993627140846261,2.8553220402417887e-05,1579.9900199600756
